nohup: ignoring input
/bin/bash: /opt/conda/lib/libtinfo.so.6: no version information available (required by /bin/bash)
==========================================
Starting CTGAN sample generation on GPU 0
==========================================

=== Processing 7000 samples ===
Running ctgan_sample_7000_1.py...
[I 2025-12-17 11:10:00,009] A new study created in memory with name: no-name-62666be6-ea93-4bce-83e6-c7505848095b
[I 2025-12-17 11:10:21,026] Trial 0 finished with value: -16.958676822986835 and parameters: {'embedding_dim': 117, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -16.958676822986835.
[I 2025-12-17 11:14:14,075] Trial 19 finished with value: -228.7392304473735 and parameters: {'embedding_dim': 91, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:14:19,782] Trial 20 finished with value: -89.20841410338474 and parameters: {'embedding_dim': 88, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:14:25,486] Trial 21 finished with value: -293.66422139895565 and parameters: {'embedding_dim': 102, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:14:31,198] Trial 22 finished with value: -6.517192682791781 and parameters: {'embedding_dim': 114, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:14:36,915] Trial 23 finished with value: -7.270040272889316 and parameters: {'embedding_dim': 116, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:14:42,592] Trial 24 finished with value: -76.1506268621222 and parameters: {'embedding_dim': 113, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:15:05,336] Trial 25 finished with value: -14.806594086912861 and parameters: {'embedding_dim': 75, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:15:12,872] Trial 26 finished with value: -93.28150223267565 and parameters: {'embedding_dim': 124, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:15:27,564] Trial 27 finished with value: -15.578828226170488 and parameters: {'embedding_dim': 93, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:15:33,318] Trial 28 finished with value: -4.179004400208213 and parameters: {'embedding_dim': 85, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:15:40,879] Trial 29 finished with value: -20.154799214673982 and parameters: {'embedding_dim': 84, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:16:03,891] Trial 30 finished with value: -23.887794695781228 and parameters: {'embedding_dim': 86, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:16:09,666] Trial 31 finished with value: -31.569322179797666 and parameters: {'embedding_dim': 79, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:16:15,371] Trial 32 finished with value: -47.226172508277266 and parameters: {'embedding_dim': 73, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:16:21,086] Trial 33 finished with value: -18.01478886730849 and parameters: {'embedding_dim': 96, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:16:26,803] Trial 34 finished with value: -86.6107742273914 and parameters: {'embedding_dim': 128, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
[I 2025-12-17 11:16:32,534] Trial 35 finished with value: -2.5088602779451867 and parameters: {'embedding_dim': 105, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:16:38,268] Trial 36 finished with value: -87.77126400891709 and parameters: {'embedding_dim': 105, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:16:52,941] Trial 37 finished with value: -298.6620750248493 and parameters: {'embedding_dim': 106, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:16:58,688] Trial 38 finished with value: -7.955402964934908 and parameters: {'embedding_dim': 110, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:17:13,321] Trial 39 finished with value: -13.785359546136497 and parameters: {'embedding_dim': 98, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:17:19,042] Trial 40 finished with value: -32.46323891902347 and parameters: {'embedding_dim': 92, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:17:24,745] Trial 41 finished with value: -47.34600171294361 and parameters: {'embedding_dim': 66, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:17:30,392] Trial 42 finished with value: -194.55599202353642 and parameters: {'embedding_dim': 113, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:17:36,141] Trial 43 finished with value: -7.078757693860089 and parameters: {'embedding_dim': 120, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 35 with value: -2.5088602779451867.
[I 2025-12-17 11:17:46,153] Trial 44 finished with value: -0.4931555014802902 and parameters: {'embedding_dim': 111, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 44 with value: -0.4931555014802902.
[I 2025-12-17 11:17:56,090] Trial 45 finished with value: -15.022363014181822 and parameters: {'embedding_dim': 103, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 44 with value: -0.4931555014802902.
[I 2025-12-17 11:18:06,069] Trial 46 finished with value: -0.6097532651653054 and parameters: {'embedding_dim': 96, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 44 with value: -0.4931555014802902.
[I 2025-12-17 11:18:15,975] Trial 47 finished with value: -76.88686787052801 and parameters: {'embedding_dim': 82, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 44 with value: -0.4931555014802902.
[I 2025-12-17 11:18:26,026] Trial 48 finished with value: -8.096865269702544 and parameters: {'embedding_dim': 89, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 44 with value: -0.4931555014802902.
[I 2025-12-17 11:18:35,995] Trial 49 finished with value: -290.1378158500697 and parameters: {'embedding_dim': 109, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 44 with value: -0.4931555014802902.
[I 2025-12-17 11:18:46,089] A new study created in memory with name: no-name-0d737048-221a-4f46-8114-2dd0d05116b5
Using device: cuda
Processing ../../data/data_for_modeling/incheon_train.csv: Optimizing CTGAN for class 0...
Processing ../../data/data_for_modeling/incheon_train.csv: Optimizing CTGAN for class 1...
[I 2025-12-17 11:19:25,562] Trial 0 finished with value: -821.7636827570874 and parameters: {'embedding_dim': 214, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 8, 'batch_size': 1024, 'discriminator_steps': 5}. Best is trial 0 with value: -821.7636827570874.
[I 2025-12-17 11:20:21,287] Trial 1 finished with value: -353.90190406890827 and parameters: {'embedding_dim': 485, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 1 with value: -353.90190406890827.
[I 2025-12-17 11:22:13,774] Trial 2 finished with value: -516.8072146875494 and parameters: {'embedding_dim': 212, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 5}. Best is trial 1 with value: -353.90190406890827.
[I 2025-12-17 11:23:08,121] Trial 3 finished with value: -185.76319381411972 and parameters: {'embedding_dim': 166, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 3 with value: -185.76319381411972.
[I 2025-12-17 11:24:39,411] Trial 4 finished with value: -90.77706367712344 and parameters: {'embedding_dim': 284, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 4 with value: -90.77706367712344.
[I 2025-12-17 11:25:36,211] Trial 5 finished with value: -11.404329151744724 and parameters: {'embedding_dim': 262, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:26:21,621] Trial 6 finished with value: -977.047796667229 and parameters: {'embedding_dim': 338, 'generator_dim': (256, 256), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 512, 'discriminator_steps': 3}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:26:44,278] Trial 7 finished with value: -2557.089761788674 and parameters: {'embedding_dim': 400, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 512, 'discriminator_steps': 1}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:27:03,780] Trial 8 finished with value: -219.87761237759958 and parameters: {'embedding_dim': 272, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 2}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:27:39,860] Trial 9 finished with value: -151.99864520849408 and parameters: {'embedding_dim': 293, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:28:37,663] Trial 10 finished with value: -40.93600515316799 and parameters: {'embedding_dim': 391, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:29:33,766] Trial 11 finished with value: -620.4484958765995 and parameters: {'embedding_dim': 403, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:30:33,029] Trial 12 finished with value: -15.524038088014787 and parameters: {'embedding_dim': 377, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:31:18,254] Trial 13 finished with value: -914.1741448646801 and parameters: {'embedding_dim': 470, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 3}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:32:16,698] Trial 14 finished with value: -21.802977505524545 and parameters: {'embedding_dim': 349, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:33:32,864] Trial 15 finished with value: -85.18218563783432 and parameters: {'embedding_dim': 134, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 5}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:34:01,108] Trial 16 finished with value: -165.42000457608367 and parameters: {'embedding_dim': 229, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 3}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:35:01,023] Trial 17 finished with value: -71.37683328988341 and parameters: {'embedding_dim': 443, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:35:47,787] Trial 18 finished with value: -1254.6627428063116 and parameters: {'embedding_dim': 360, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 3}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:36:57,187] Trial 19 finished with value: -157.9032689258669 and parameters: {'embedding_dim': 255, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 5}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:37:27,650] Trial 20 finished with value: -363.56497721985187 and parameters: {'embedding_dim': 308, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:38:27,747] Trial 21 finished with value: -315.87386343722955 and parameters: {'embedding_dim': 345, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:39:23,618] Trial 22 finished with value: -120.26478125832257 and parameters: {'embedding_dim': 373, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:40:33,620] Trial 23 finished with value: -135.45361462978838 and parameters: {'embedding_dim': 442, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 5}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:41:31,893] Trial 24 finished with value: -152.53849170597059 and parameters: {'embedding_dim': 327, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:42:18,049] Trial 25 finished with value: -413.6775711236502 and parameters: {'embedding_dim': 426, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 3}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:43:06,392] Trial 26 finished with value: -102.27408315639538 and parameters: {'embedding_dim': 248, 'generator_dim': (256, 256), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 3}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:44:02,391] Trial 27 finished with value: -121.6800176448688 and parameters: {'embedding_dim': 506, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:44:42,778] Trial 28 finished with value: -267.4162014152729 and parameters: {'embedding_dim': 184, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 5}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:45:50,444] Trial 29 finished with value: -697.6876354027655 and parameters: {'embedding_dim': 308, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 8, 'batch_size': 512, 'discriminator_steps': 5}. Best is trial 5 with value: -11.404329151744724.
[I 2025-12-17 11:46:50,828] A new study created in memory with name: no-name-24614dc9-5be6-4556-b053-3db3e3808855
[I 2025-12-17 11:46:57,907] Trial 0 finished with value: -21.474104369158812 and parameters: {'embedding_dim': 119, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -21.474104369158812.
[I 2025-12-17 11:47:04,552] Trial 1 finished with value: -14.370400071766554 and parameters: {'embedding_dim': 80, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 1 with value: -14.370400071766554.
[I 2025-12-17 11:47:07,795] Trial 2 finished with value: -97.13592887594531 and parameters: {'embedding_dim': 76, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 1}. Best is trial 1 with value: -14.370400071766554.
[I 2025-12-17 11:47:11,157] Trial 3 finished with value: -148.1752058285005 and parameters: {'embedding_dim': 82, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 1 with value: -14.370400071766554.
[I 2025-12-17 11:47:14,507] Trial 4 finished with value: -157.31049963879144 and parameters: {'embedding_dim': 123, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 1 with value: -14.370400071766554.
[I 2025-12-17 11:47:21,599] Trial 5 finished with value: -3.0272642202342492 and parameters: {'embedding_dim': 106, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:24,948] Trial 6 finished with value: -88.65377775730815 and parameters: {'embedding_dim': 85, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:29,717] Trial 7 finished with value: -17.58443648142061 and parameters: {'embedding_dim': 64, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:34,483] Trial 8 finished with value: -350.8625615849437 and parameters: {'embedding_dim': 126, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:41,586] Trial 9 finished with value: -69.46395672862467 and parameters: {'embedding_dim': 94, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:48,213] Trial 10 finished with value: -32.63074832212392 and parameters: {'embedding_dim': 110, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:54,902] Trial 11 finished with value: -153.12020740731776 and parameters: {'embedding_dim': 104, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:47:59,843] Trial 12 finished with value: -201.57855972008355 and parameters: {'embedding_dim': 96, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:48:06,490] Trial 13 finished with value: -47.97700505249961 and parameters: {'embedding_dim': 107, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:48:15,083] Trial 14 finished with value: -106.416964517987 and parameters: {'embedding_dim': 71, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 5 with value: -3.0272642202342492.
[I 2025-12-17 11:48:20,334] Trial 15 finished with value: -110.45819860724336 and parameters: {'embedding_dim': 84, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 5 with value: -3.0272642202342492.
